
-----------------------------------------
| rollout/                |             |
|    clip_fraction        | 0.0804     |
|    clip_range           | 0.25       |
|    entropy_loss         | -0.392     |
|    explained_variance   | 0.86       |
|    learning_rate        | 3.01e-05   |
|    loss                 | 0.226      |
|    n_updates            | 30630      |
|    policy_gradient_loss | -0.0216    |
|    value_loss           | 1.36       |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 203       |
|    ep_rew_mean          | 28.6      |
| time/                   |           |
|    fps                  | 1300      |
|    iterations           | 3065      |
|    time_elapsed         | 57909     |
|    total_timesteps      | 75325440  |
| train/                  |           |
|    approx_kl            | 0.0254383 |
|    clip_fraction        | 0.0866    |
|    clip_range           | 0.25      |
|    entropy_loss         | -0.403    |
|    explained_variance   | 0.864     |
|    learning_rate        | 3e-05     |
|    loss                 | 0.237     |
|    n_updates            | 30640     |
|    policy_gradient_loss | -0.0218   |
|    value_loss           | 1.37      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 216        |
|    ep_rew_mean          | 30.5       |
| time/                   |            |
|    fps                  | 1300       |
|    iterations           | 3066       |
|    time_elapsed         | 57929      |
|    total_timesteps      | 75350016   |
| train/                  |            |
|    approx_kl            | 0.02211258 |
|    clip_fraction        | 0.0776     |
|    clip_range           | 0.25       |
|    entropy_loss         | -0.391     |
|    explained_variance   | 0.865      |
|    learning_rate        | 3e-05      |
|    loss                 | 0.237      |
|    n_updates            | 30650      |
|    policy_gradient_loss | -0.021     |
|    value_loss           | 1.39       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 224        |
|    ep_rew_mean          | 30.8       |
| time/                   |            |
|    fps                  | 1300       |
|    iterations           | 3067       |
|    time_elapsed         | 57948      |
|    total_timesteps      | 75374592   |
| train/                  |            |
|    approx_kl            | 0.02496265 |
|    clip_fraction        | 0.081      |
|    clip_range           | 0.25       |
|    entropy_loss         | -0.411     |
|    explained_variance   | 0.861      |
|    learning_rate        | 3e-05      |
|    loss                 | 0.24       |
|    n_updates            | 30660      |
|    policy_gradient_loss | -0.0218    |
|    value_loss           | 1.45       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 206         |
|    ep_rew_mean          | 28.7        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3068        |
|    time_elapsed         | 57968       |
|    total_timesteps      | 75399168    |
| train/                  |             |
|    approx_kl            | 0.023030149 |
|    clip_fraction        | 0.0815      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.377      |
|    explained_variance   | 0.844       |
|    learning_rate        | 2.99e-05    |
|    loss                 | 0.263       |
|    n_updates            | 30670       |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 1.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 209         |
|    ep_rew_mean          | 29.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3069        |
|    time_elapsed         | 57987       |
|    total_timesteps      | 75423744    |
| train/                  |             |
|    approx_kl            | 0.024684234 |
|    clip_fraction        | 0.0785      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.395      |
|    explained_variance   | 0.853       |
|    learning_rate        | 2.99e-05    |
|    loss                 | 0.254       |
|    n_updates            | 30680       |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 1.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 216         |
|    ep_rew_mean          | 29.7        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3070        |
|    time_elapsed         | 58006       |
|    total_timesteps      | 75448320    |
| train/                  |             |
|    approx_kl            | 0.023204742 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.386      |
|    explained_variance   | 0.855       |
|    learning_rate        | 2.98e-05    |
|    loss                 | 0.243       |
|    n_updates            | 30690       |
|    policy_gradient_loss | -0.0203     |
|    value_loss           | 1.43        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 214         |
|    ep_rew_mean          | 30.1        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3071        |
|    time_elapsed         | 58025       |
|    total_timesteps      | 75472896    |
